video_id,title,content
WPMWeLALvkg,Produce KPI EP.1 Countdown,觀看次數：10.5萬次 • 2天前
Fz1f99N_z8E,Produce KPI 主題曲舞台,官方舞台直拍 / 記得投票給你的 PICK！
e0W1Z1dCrd8,Produce KPI EP.1 預告,初次等級評價即將展開...
n1tXnOioaQ8,Produce KPI 幕後花絮：初次相遇,練習生們的宿舍生活大公開
